,trueAlpha,trueTau,recovAlpha,recovTau,cost,r
0,0.3305020233034335,0.021887295782442046,0.9630728318944312,0.13584535315932825,1204.0,"(0.7746978995688693, 1.5405561245962951e-12)"
0,0.761370480921034,0.031427818282368555,0.5189042617657428,0.3028957653359368,1593.0,"(0.3849999980938169, 0.0031044679422558993)"
0,0.3685640569526849,0.11926567710534211,0.12954478598599223,0.18518160469119233,1603.0,"(0.40931189854193256, 0.0015694498436181969)"
0,0.4028730377912061,0.26448894348932234,0.5724992881956734,0.2972409256829265,964.0,"(0.4733742109957414, 0.0002000673175448334)"
0,0.27629219491352175,0.29865333217050416,0.41703676224946173,0.49610828204025686,923.0,"(0.5677587184676595, 4.1065378514441084e-06)"
0,0.8839884149831516,0.4186943260925944,0.28941215377894325,0.14090420610518944,1278.0,"(0.5201058756116997, 3.373769409392938e-05)"
0,0.8043053974977233,0.3709913717050662,0.456198490006841,0.06075785210673293,1367.0,"(0.4303937808791171, 0.0008326070129123096)"
0,0.1278397644484709,0.1774535114502769,0.04050778372085025,0.018667044110153568,1608.0,"(0.5831363259119108, 1.9358407151058628e-06)"
0,0.2520650660543695,0.48798888898651793,0.0835665108850816,0.2334976532021579,1396.0,"(0.3934826673955317, 0.002461049800442143)"
0,0.4814452510163314,0.17070779933233146,0.2763536491931673,0.43145068374476747,1526.0,"(0.46747694966304965, 0.00024605926802019677)"
0,0.5643695414338756,0.12141081523589553,0.6665944295185852,0.46207978739229094,2066.0,"(0.5162746589619143, 3.942847783456978e-05)"
0,0.7037860682078946,0.365754665156841,0.38653768801728877,0.48157711415693244,1455.0,"(0.4628819579203949, 0.0002883642124768632)"
0,0.7748854252940935,0.33563412848840174,0.7067963319588476,0.0871098147465452,1549.0,"(0.5051945681342386, 6.124618047779107e-05)"
0,0.1992302673500045,0.009086244490544161,0.10502597291909233,0.43198146655618147,1241.0,"(0.3615629927836437, 0.005719777085906601)"
0,0.03630405628119582,0.17163061774424423,0.18537843980853658,0.3804756183834876,1068.0,"(0.6287274878739673, 1.6320060897803722e-07)"
0,0.18146790806187563,0.4764544083708914,0.19157661303880433,0.27888360808208035,2109.0,"(0.5047752667995459, 6.225698637374754e-05)"
0,0.1173664702102808,0.3044853954508461,0.14033654298899667,0.22164917380773505,1292.0,"(0.3113394660217617, 0.01840312202787287)"
0,0.7718492009553202,0.4613661897268177,0.015569633494167331,0.49365664821866845,1035.0,"(0.4426654909610189, 0.0005647311843360007)"
0,0.819412148248851,0.40092929820636225,0.4785415441819985,0.3568548653101008,1201.0,"(0.5666491961035501, 4.329205485329556e-06)"
0,0.7080842153158169,0.33964068415884385,0.062159011753705085,0.45292417886800196,1366.0,"(0.4633443323381223, 0.00028382581300371413)"
0,0.9203723262069661,0.42331870141962585,0.17494208402373418,0.4391232043575083,1524.0,"(0.2684037866289241, 0.04351655832687204)"
0,0.15578092710226943,0.03563516997529926,0.12316410169365939,0.4753389372640456,1295.0,"(0.3820296084959996, 0.003362729319282366)"
0,0.507665641103533,0.10114398504962918,0.5053435936050952,0.1283666665494967,799.0,"(0.6561529079563126, 3.0096769672309695e-08)"
0,0.740913772321055,0.2588677238469537,0.30194497152338023,0.018408646990786672,1325.0,"(0.4778766531601806, 0.0001703974617875855)"
0,0.48618939413429796,0.17483751910409168,0.35753236622351015,0.4521647905639195,1357.0,"(0.49709146442849983, 8.372130296266043e-05)"
0,0.7673374719697156,0.29099603607020846,0.5904024342238281,0.3223430368761564,1591.0,"(0.5547801437066158, 7.526794885705292e-06)"
0,0.1004820061863454,0.2251198637559988,0.4782414216538031,0.4556419272128234,1525.0,"(0.38888482077081077, 0.0027933059173253063)"
0,0.7874145353105422,0.3313232301622202,0.5267297078176136,0.27764029923717376,1051.0,"(0.5072449102390201, 5.651741050338624e-05)"
0,0.26789846598131317,0.37672360012346684,0.4362345710314173,0.010394550164445777,1669.0,"(0.4341920074338872, 0.0007394856857243598)"
0,0.9016736479557818,0.10843531885570641,0.3281654749269383,0.4757176679708577,1296.0,"(0.5913700827023796, 1.2735491028878606e-06)"
